name,date,energy,amount,on_peak,mid_day,off_peak,correct_amount,error_rounding,error_calculation,session_type_DEVICE,session_type_MOBILE,session_type_WEB,port_type_CHADEMO,port_type_DCCOMBOTYP1,payment_mode_CREDITCARD,payment_mode_RFID,correct_duration
A,2018-12-22,171.18,88.87,2.0,6.0,3.0,88.88,0.0,0.0,6,5,0,10,1,9,2,23192
A,2018-12-23,98.87,52.93,2.0,4.0,2.0,52.93,0.0,0.0,1,6,1,8,0,4,4,15492
A,2018-12-24,124.49,66.38,3.0,3.0,4.0,66.38,0.0,0.0,5,5,0,9,1,7,3,15237
A,2018-12-25,61.53,32.33,2.0,9.0,1.0,32.33,0.0,0.0,5,7,0,10,2,10,2,11475
A,2018-12-26,182.72,96.1,3.0,4.0,3.0,96.1,0.0,0.0,2,8,0,8,2,5,5,24180
A,2018-12-27,224.56,116.04,1.0,12.0,4.0,116.04,0.0,0.0,4,9,4,11,6,11,6,23670
A,2018-12-28,100.94,53.0,2.0,4.0,2.0,53.0,0.0,0.0,2,6,0,8,0,5,3,13366
A,2018-12-29,233.16,120.22,2.0,13.0,2.0,120.22,0.0,0.0,9,8,0,17,0,10,7,26151
A,2018-12-30,131.2,70.96,2.0,4.0,2.0,70.95,0.0,1.0,2,6,0,6,2,4,4,16053
A,2018-12-31,163.72,85.42,2.0,5.0,3.0,85.42,0.0,0.0,5,5,0,8,2,8,2,22174
A,2019-01-01,186.43,97.48,6.0,6.0,6.0,97.49,0.0,0.0,4,14,0,18,0,13,5,25427
A,2019-01-02,183.25,95.71,7.0,5.0,2.0,95.71,0.0,0.0,5,9,0,12,2,8,6,29041
A,2019-01-03,156.7,82.88,6.0,4.0,1.0,82.88,0.0,0.0,8,3,0,9,2,9,2,22361
A,2019-01-04,182.96,95.18,5.0,6.0,0.0,95.18,0.0,0.0,7,4,0,11,0,10,1,22117
A,2019-01-05,179.76,92.02,1.0,7.0,4.0,92.02,0.0,0.0,7,5,0,9,3,9,3,24345
A,2019-01-06,232.65,120.83,4.0,7.0,4.0,120.83,0.0,0.0,5,10,0,12,3,10,5,35359
A,2019-01-07,280.38,148.76,5.0,7.0,7.0,148.74,0.0,0.0,6,13,0,18,1,11,8,35976
A,2019-01-08,253.07,133.34,4.0,5.0,8.0,133.34,0.0,0.0,8,9,0,15,2,11,6,31695
A,2019-01-09,253.91,128.67,5.0,10.0,4.0,131.61,0.0,1.0,6,13,0,17,2,12,7,34456
A,2019-01-10,296.09,151.26,4.0,11.0,4.0,151.26,0.0,0.0,8,11,0,17,2,14,5,33818
A,2019-01-11,368.97,194.47,7.0,13.0,5.0,194.46,0.0,0.0,8,17,0,23,2,15,10,44766
A,2019-01-12,281.63,150.07,6.0,6.0,6.0,150.07,0.0,0.0,2,16,0,17,1,12,6,36950
A,2019-01-13,387.0,191.37,6.0,12.0,9.0,199.61,0.0,2.0,6,19,2,25,2,18,9,43953
A,2019-01-14,321.2,164.92,9.0,10.0,2.0,164.94,0.0,0.0,8,13,0,20,1,16,5,40386
A,2019-01-15,300.83,151.85,6.0,12.0,8.0,158.41,0.0,1.0,12,13,1,26,0,16,10,38849
A,2019-01-16,316.21,162.31,6.0,8.0,3.0,162.34,0.0,3.0,9,8,0,15,2,13,4,33306
A,2019-01-17,339.03,174.33,3.0,12.0,6.0,174.33,0.0,0.0,11,10,0,21,0,14,7,40416
A,2019-01-18,303.31,160.76,7.0,9.0,3.0,160.76,0.0,0.0,7,11,1,16,3,13,6,36017
A,2019-01-19,294.84,154.28,11.0,7.0,6.0,154.29,0.0,0.0,11,11,2,18,6,16,8,43184
A,2019-01-20,291.98,117.64,4.0,13.0,8.0,153.74,0.0,5.0,12,11,2,24,1,15,10,46002
A,2019-01-21,282.41,147.37,4.0,12.0,4.0,147.37,0.0,0.0,2,17,1,18,2,7,13,33789
A,2019-01-22,408.27,210.64,2.0,9.0,5.0,210.64,0.0,0.0,7,9,0,16,0,10,6,40960
A,2019-01-23,343.14,167.78,5.0,10.0,5.0,176.94,0.0,1.0,5,13,2,18,2,15,5,38116
A,2019-01-24,214.7,108.95,3.0,7.0,4.0,108.96,0.0,1.0,6,8,0,13,1,11,3,24713
A,2019-01-25,406.65,216.21,8.0,12.0,5.0,216.22,0.0,1.0,12,13,0,23,2,17,8,49539
A,2019-01-26,359.84,180.15,5.0,9.0,3.0,188.73,0.0,1.0,6,9,2,16,1,9,8,41677
A,2019-01-27,386.27,203.75,6.0,13.0,4.0,203.73,0.0,0.0,11,12,0,21,2,15,8,48806
A,2019-01-28,142.91,78.14,5.0,4.0,1.0,78.14,0.0,0.0,4,6,0,8,2,6,4,20976
